# Chloride, dissolved.tons/day.Mean.comp.ref@441624088045601.EntireRecord.csv generated at 2017-07-19 03:59:20 (UTC+00:00) by AQUARIUS 17.1.115.0
# 
# Time series identifier: Chloride, dissolved.tons/day.Mean.comp.ref@441624088045601
# Location: GLRI EAST RIVER WATERWAY NUMBER 1 NR GREENLEAF, WI
# UTC offset: (UTC-06:00)
# Value units: tons/day
# Value parameter: Chloride, dissolved
# Interpolation type: Preceding Constant
# Time series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC, Timestamp (UTC-06:00), Value, Approval Level, Grade, Qualifiers
2011-12-09T06:00:00Z, 2011-12-09 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-10T06:00:00Z, 2011-12-10 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-11T06:00:00Z, 2011-12-11 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-12T06:00:00Z, 2011-12-12 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-13T06:00:00Z, 2011-12-13 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-14T06:00:00Z, 2011-12-14 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-15T06:00:00Z, 2011-12-15 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-16T06:00:00Z, 2011-12-16 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-17T06:00:00Z, 2011-12-17 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-18T06:00:00Z, 2011-12-18 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-19T06:00:00Z, 2011-12-19 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-20T06:00:00Z, 2011-12-20 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-21T06:00:00Z, 2011-12-21 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-22T06:00:00Z, 2011-12-22 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-23T06:00:00Z, 2011-12-23 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-24T06:00:00Z, 2011-12-24 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-25T06:00:00Z, 2011-12-25 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-26T06:00:00Z, 2011-12-26 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-27T06:00:00Z, 2011-12-27 00:00:00.000, 0, Admin Read-Only, 50, 
2011-12-28T06:00:00Z, 2011-12-28 00:00:00.000, 0, Admin Read-Only, 50, 
